"","Var1","Freq"
"1048","IGFBP3",5
"1049","IGSF8",5
"1050","IGSF9",5
"1051","IL12RB1",5
"1052","IL15RA",5
"1053","IL19",5
"1054","INSL4",5
"1055","INSL5",5
"1056","ITGAV",5
"1057","ITIH4",5
"1058","KIFBP",5
"1059","KIR2DL2",5
"1060","KLK15",5
"1061","KLK8",5
"1062","KRT5",5
"1063","LAIR2",5
"1064","LAT",5
"1065","LAYN",5
"1066","LCP1",5
"1067","LILRA3",5
"1068","LILRB4",5
"1069","LIPF",5
"1070","LRP11",5
"1071","LRTM2",5
"1072","LY6D",5
"1073","LYN",5
"1074","MAMDC4",5
"1075","MAX",5
"1076","METAP2",5
"1077","MMP12",5
"1078","MMP7",5
"1079","MMP8",5
"1080","MPIG6B",5
"1081","MSMB",5
"1082","MTDH",5
"1083","MTSS2",5
"1084","NAA80",5
"1085","NADK",5
"1086","NCF2",5
"1087","NECTIN4",5
"1088","NMNAT1",5
"1089","NOMO1",5
"1090","NOTCH2",5
"1091","NPC2",5
"1092","NT5C3A",5
"1093","NTF3",5
"1094","NTproBNP",5
"1095","NUCB2",5
"1096","PCDH7",5
"1097","PER3",5
"1098","PGLYRP2",5
"1099","PI16",5
"1100","PIBF1",5
"1101","PKD2",5
"1102","PLAT",5
"1103","PLCB2",5
"1104","PLG",5
"1105","PLXNA4",5
"1106","PNLIPRP2",5
"1107","PPP1R12A",5
"1108","PPP3R1",5
"1109","PRKAR1A",5
"1110","PRSS22",5
"1111","PTN",5
"1112","PTX3",5
"1113","PZP",5
"1114","RAB6A",5
"1115","RBP5",5
"1116","RBP7",5
"1117","RGMB",5
"1118","RNASE6",5
"1119","RNF5",5
"1120","ROBO2",5
"1121","S100A12",5
"1122","SCARB2",5
"1123","SERPINH1",5
"1124","SFRP1",5
"1125","SH2B3",5
"1126","SIL1",5
"1127","SIRT2",5
"1128","SLAMF8",5
"1129","SLC9A3R2",5
"1130","SLITRK1",5
"1131","SMAD3",5
"1132","SMOC2",5
"1133","SNAP23",5
"1134","SNAP29",5
"1135","SNCA",5
"1136","SRPK2",5
"1137","STK11",5
"1138","SULT2A1",5
"1139","SYAP1",5
"1140","TACC3",5
"1141","TBCC",5
"1142","TCN2",5
"1143","TFF1",5
"1144","TNFRSF10A",5
"1145","TNFRSF6B",5
"1146","TNFSF14",5
"1147","TOP2B",5
"1148","TRAF2",5
"1149","UBE2L6",5
"1150","UROD",5
"1151","VTI1A",5
"1152","VWF",5
"1153","WASHC3",5
"1154","A1BG",4
"1155","ABHD14B",4
"1156","ACE",4
"1157","ACYP1",4
"1158","ADAMTS8",4
"1159","ADAMTSL4",4
"1160","AGR3",4
"1161","AKR7L",4
"1162","AKT2",4
"1163","ANG",4
"1164","ANKMY2",4
"1165","ANXA1",4
"1166","ANXA3",4
"1167","APBB1IP",4
"1168","APEX1",4
"1169","AREG",4
"1170","ARG2",4
"1171","ASPSCR1",4
"1172","ATG4A",4
"1173","ATRAID",4
"1174","AZU1",4
"1175","BAP18",4
"1176","BCAT1",4
"1177","BECN1",4
"1178","BIN2",4
"1179","BLMH",4
"1180","BLNK",4
"1181","BMPER",4
"1182","C1QTNF1",4
"1183","CA1",4
"1184","CA14",4
"1185","CACNB3",4
"1186","CACYBP",4
"1187","CALCOCO1",4
"1188","CASP2",4
"1189","CASP7",4
"1190","CASP8",4
"1191","CCDC50",4
"1192","CCL15",4
"1193","CCL18",4
"1194","CD34",4
"1195","CD70",4
"1196","CD99",4
"1197","CDHR1",4
"1198","CEP43",4
"1199","CEP85",4
"1200","CERT",4
"1201","CHMP6",4
"1202","CIAPIN1",4
"1203","CILP",4
"1204","CKAP4",4
"1205","CKB",4
"1206","CLEC3B",4
"1207","CLEC7A",4
"1208","CMC1",4
"1209","CNTNAP2",4
"1210","COL18A1",4
"1211","COL9A1",4
"1212","COMMD1",4
"1213","COX5B",4
"1214","CRACR2A",4
"1215","CRADD",4
"1216","CRELD1",4
"1217","CRNN",4
"1218","CSF1",4
"1219","CSF2",4
"1220","CSF3",4
"1221","CSNK2A1",4
"1222","CXCL10",4
"1223","DAG1",4
"1224","DARS1",4
"1225","DBNL",4
"1226","DDAH1",4
"1227","DEFB4A_DEFB4B",4
"1228","DTD1",4
"1229","DTX3",4
"1230","DTYMK",4
"1231","ECM1",4
"1232","EFCAB2",4
"1233","EFEMP1",4
"1234","EHBP1",4
"1235","EIF4E",4
"1236","EIF4G1",4
"1237","ENO3",4
"1238","ENTPD2",4
"1239","EPS8L2",4
"1240","ERP29",4
"1241","F13B",4
"1242","F2",4
"1243","FABP3",4
"1244","FABP6",4
"1245","FADD",4
"1246","FAS",4
"1247","FCGR2B",4
"1248","FGA",4
"1249","FKBP5",4
"1250","FNDC1",4
"1251","FOXO1",4
"1252","FSHB",4
"1253","GC",4
"1254","GCC1",4
"1255","GCG",4
"1256","GFRA1",4
"1257","GGACT",4
"1258","GGT5",4
"1259","GLA",4
"1260","GLRX5",4
"1261","GNE",4
"1262","GNPDA2",4
"1263","GOLGA3",4
"1264","GOPC",4
"1265","GPHA2",4
"1266","GPI",4
"1267","GPIHBP1",4
"1268","GPR15L",4
"1269","GRHPR",4
"1270","GSR",4
"1271","GSTA3",4
"1272","HCLS1",4
"1273","HGS",4
"1274","HHEX",4
"1275","HJV",4
"1276","HLA-A",4
"1277","HLA-E",4
"1278","HMOX2",4
"1279","HNMT",4
"1280","HSD17B14",4
"1281","HSPA1A",4
"1282","HSPG2",4
